species,phyloname.x,Order.x,Family.x,Bodymass,Age_at_first_breeding,Max_longevity,Name_update.helps.later.,Traded,Cites_name,Listing,Trade_since_2000,Trade_since_2015
Crypturellus boucardi,Crypturellus boucardi,STRUTHIONIFORMES,Tinamidae,435.62,1.86778589,14.98941975,Crypturellus boucardi,1,Crypturellus boucardi,Not Listed,0,0
Crypturellus brevirostris,Crypturellus brevirostris,STRUTHIONIFORMES,Tinamidae,411.51,1.92380231,14.95707967,Crypturellus brevirostris,0,Crypturellus brevirostris,Not Listed,0,0
Crypturellus casiquiare,Crypturellus casiquiare,STRUTHIONIFORMES,Tinamidae,411.51,1.92380231,14.93281925,Crypturellus casiquiare,0,Crypturellus casiquiare,Not Listed,0,0
Crypturellus cinereus,Crypturellus cinereus,STRUTHIONIFORMES,Tinamidae,506.63,2.399819702,17.81259548,Crypturellus cinereus,1,Crypturellus cinereus,Not Listed,0,0
Crypturellus duidae,Crypturellus duidae,STRUTHIONIFORMES,Tinamidae,426,1.936678973,15.02185113,Crypturellus duidae,0,Crypturellus duidae,Not Listed,0,0
Crypturellus erythropus,Crypturellus erythropus,STRUTHIONIFORMES,Tinamidae,485,2.142693768,15.92709911,Crypturellus erythropus,0,Crypturellus erythropus,Not Listed,0,0
Crypturellus kerriae,Crypturellus kerriae,STRUTHIONIFORMES,Tinamidae,411.51,1.92380231,15.15369062,Crypturellus kerriae,1,Crypturellus kerriae,Not Listed,0,0
Crypturellus noctivagus,Crypturellus noctivagus,STRUTHIONIFORMES,Tinamidae,561.99,1.932858872,17.3741855,Crypturellus noctivagus,1,Crypturellus noctivagus,Not Listed,0,0
Crypturellus obsoletus,Crypturellus obsoletus,STRUTHIONIFORMES,Tinamidae,443.4,1.874309998,15.19449899,Crypturellus obsoletus,1,Crypturellus obsoletus,Not Listed,0,0
Crypturellus parvirostris,Crypturellus parvirostris,STRUTHIONIFORMES,Tinamidae,198.99,1.515542826,13.67202724,Crypturellus parvirostris,1,Crypturellus parvirostris,Not Listed,0,0
Crypturellus ptaritepui,Crypturellus ptaritepui,STRUTHIONIFORMES,Tinamidae,411.51,1.92380231,15.10223528,Crypturellus ptaritepui,0,Crypturellus ptaritepui,Not Listed,0,0
Crypturellus soui,Crypturellus soui,STRUTHIONIFORMES,Tinamidae,216.16,1.899519281,13.95755572,Crypturellus soui,1,Crypturellus soui,Not Listed,0,0
Crypturellus strigulosus,Crypturellus strigulosus,STRUTHIONIFORMES,Tinamidae,430.58,1.93707895,14.97060929,Crypturellus strigulosus,0,Crypturellus strigulosus,Not Listed,0,0
Crypturellus tataupa,Crypturellus tataupa,STRUTHIONIFORMES,Tinamidae,218.8,1.630869437,13.26209369,Crypturellus tataupa,1,Crypturellus tataupa,Not Listed,0,0
Crypturellus transfasciatus,Crypturellus transfasciatus,STRUTHIONIFORMES,Tinamidae,283,1.783384219,13.50365432,Crypturellus transfasciatus,1,Crypturellus transfasciatus,Not Listed,0,0
Crypturellus undulatus,Crypturellus undulatus,STRUTHIONIFORMES,Tinamidae,564.42,2.019948816,16.21830113,Crypturellus undulatus,1,Crypturellus undulatus,Not Listed,0,0
Crypturellus variegatus,Crypturellus variegatus,STRUTHIONIFORMES,Tinamidae,378,2.447681257,17.69804868,Crypturellus variegatus,1,Crypturellus variegatus,Not Listed,0,0
Cuculus canorus,Cuculus canorus,CUCULIFORMES,Cuculidae,111.36,1.053658338,12.92,Cuculus canorus,1,Cuculus canorus,Not Listed,0,0
Cuculus clamosus,Cuculus clamosus,CUCULIFORMES,Cuculidae,78.8,0.985700601,10.52134705,Cuculus clamosus,0,Cuculus clamosus,Not Listed,0,0
Cuculus crassirostris,Cuculus crassirostris,CUCULIFORMES,Cuculidae,82.08,1.035047158,10.47644342,Cuculus crassirostris,0,Cuculus crassirostris,Not Listed,0,0
Cuculus gularis,Cuculus gularis,CUCULIFORMES,Cuculidae,103,1.037926053,10.97775338,Cuculus gularis,0,Cuculus gularis,Not Listed,0,0
Cuculus lepidus,Cuculus lepidus,CUCULIFORMES,Cuculidae,87,1.046727793,10.60881688,Cuculus lepidus,0,Cuculus lepidus,Not Listed,0,0
Cuculus micropterus,Cuculus micropterus,CUCULIFORMES,Cuculidae,88.75,1.050754004,11.29209229,Cuculus micropterus,1,Cuculus micropterus,Not Listed,0,0
Heteroscenes pallidus,Cuculus pallidus,CUCULIFORMES,Cuculidae,87.69,1.820629828,12.57988011,Heteroscenes pallidus,1,Heteroscenes pallidus,Not Listed,0,0
Cuculus poliocephalus,Cuculus poliocephalus,CUCULIFORMES,Cuculidae,46.56,0.92788726,10.17220062,Cuculus poliocephalus,0,Cuculus poliocephalus,Not Listed,0,0
Cuculus rochii,Cuculus rochii,CUCULIFORMES,Cuculidae,62.7,0.982679164,10.41350962,Cuculus rochii,0,Cuculus rochii,Not Listed,0,0
Cuculus saturatus,Cuculus saturatus,CUCULIFORMES,Cuculidae,87,1.046727793,12.06740338,Cuculus saturatus,0,Cuculus saturatus,Not Listed,0,0
Hierococcyx vagans,Cuculus vagans,CUCULIFORMES,Cuculidae,57.7,1.35355502,9.590559988,Hierococcyx vagans,0,Hierococcyx vagans,Not Listed,0,0
Hierococcyx varius,Cuculus varius,CUCULIFORMES,Cuculidae,103,1.513522712,11.25630645,Hierococcyx varius,1,Hierococcyx varius,Not Listed,0,0
Culicicapa ceylonensis,Culicicapa ceylonensis,PASSERIFORMES,Stenostiridae,7.7,0.929063188,6.665770709,Culicicapa ceylonensis,1,Culicicapa ceylonensis,Not Listed,0,0
Culicicapa helianthea,Culicicapa helianthea,PASSERIFORMES,Stenostiridae,8.4,0.933569194,6.747632072,Culicicapa helianthea,0,Culicicapa helianthea,Not Listed,0,0
Culicivora caudacuta,Culicivora caudacuta,PASSERIFORMES,Tyrannidae,8,0.887689139,6.895702799,Culicivora caudacuta,0,Culicivora caudacuta,Not Listed,0,0
Curaeus curaeus,Curaeus curaeus,PASSERIFORMES,Icteridae,83.7,1.508556087,12.26366063,Curaeus curaeus,0,Curaeus curaeus,Not Listed,0,0
Curaeus forbesi,Curaeus forbesi,PASSERIFORMES,Icteridae,90,1.642639101,12.74777774,Anumara forbesi,1,Curaeus forbesi,Not Listed,0,0
Cursorius coromandelicus,Cursorius coromandelicus,CHARADRIIFORMES,Glareolidae,94,1.040642242,11.63468525,Cursorius coromandelicus,0,Cursorius coromandelicus,Not Listed,0,0
Cursorius cursor,Cursorius cursor,CHARADRIIFORMES,Glareolidae,138,1.166710944,13.28210998,Cursorius cursor,0,Cursorius cursor,Not Listed,0,0
Cursorius rufus,Cursorius rufus,CHARADRIIFORMES,Glareolidae,74.99,1.0346393,11.61347178,Cursorius rufus,0,Cursorius rufus,Not Listed,0,0
Cursorius somalensis,Cursorius somalensis,CHARADRIIFORMES,Glareolidae,138,1.088052572,11.40785746,Cursorius somalensis,0,Cursorius somalensis,Not Listed,0,0
Cursorius temminckii,Cursorius temminckii,CHARADRIIFORMES,Glareolidae,69.2,1.018392119,10.50682745,Cursorius temminckii,1,Cursorius temminckii,Not Listed,0,0
Cutia legalleni,Cutia legalleni,PASSERIFORMES,Leiotrichidae,47.15,1.301880222,9.516282728,Cutia legalleni,1,Cutia legalleni,Not Listed,0,0
Cutia nipalensis,Cutia nipalensis,PASSERIFORMES,Leiotrichidae,47.15,1.301880222,9.750994608,Cutia nipalensis,0,Cutia nipalensis,Not Listed,0,0
Cyanerpes caeruleus,Cyanerpes caeruleus,PASSERIFORMES,Thraupidae,12,1.084346217,17,Cyanerpes caeruleus,1,Cyanerpes caeruleus,Not Listed,0,0
Cyanerpes cyaneus,Cyanerpes cyaneus,PASSERIFORMES,Thraupidae,14,1.183527406,17,Cyanerpes cyaneus,1,Cyanerpes cyaneus,Not Listed,0,0
Cyanerpes lucidus,Cyanerpes lucidus,PASSERIFORMES,Thraupidae,11.4,1.136588994,11.58289908,Cyanerpes lucidus,1,Cyanerpes lucidus,Not Listed,0,0
Cyanerpes nitidus,Cyanerpes nitidus,PASSERIFORMES,Thraupidae,9,0.920733532,11.2765072,Cyanerpes nitidus,0,Cyanerpes nitidus,Not Listed,0,0
Cyanicterus cyanicterus,Cyanicterus cyanicterus,PASSERIFORMES,Thraupidae,34,1.222354028,8.710317353,Cyanicterus cyanicterus,1,Cyanicterus cyanicterus,Not Listed,0,0
Cyanochen cyanoptera,Cyanochen cyanoptera,ANSERIFORMES,Anatidae,1520,2.027317811,18.94084054,Cyanochen cyanoptera,1,Cyanochen cyanoptera,Not Listed,0,0
Cyanocitta cristata,Cyanocitta cristata,PASSERIFORMES,Corvidae,88,2,18.3,Cyanocitta cristata,1,Cyanocitta cristata,Not Listed,0,0
Cyanocitta stelleri,Cyanocitta stelleri,PASSERIFORMES,Corvidae,128,1.500790269,16.08333333,Cyanocitta stelleri,1,Cyanocitta stelleri,Not Listed,0,0
Cyanocompsa brissonii,Cyanocompsa brissonii,PASSERIFORMES,Cardinalidae,27.5,1.27231525,10.2439485,Cyanoloxia brissonii,0,Cyanocompsa brissonii,Not Listed,0,0
Cyanocompsa parellina,Cyanocompsa parellina,PASSERIFORMES,Cardinalidae,15.64,1.209635729,10.83333333,Cyanocompsa parellina,0,Cyanocompsa parellina,Not Listed,0,0
Cyanocorax affinis,Cyanocorax affinis,PASSERIFORMES,Corvidae,212,2.241351918,17.68635258,Cyanocorax affinis,1,Cyanocorax affinis,Not Listed,0,0
Cyanocorax beecheii,Cyanocorax beecheii,PASSERIFORMES,Corvidae,193,2.059716313,17.0606841,Cyanocorax beecheii,1,Cyanocorax beecheii,Not Listed,0,0
Cyanocorax caeruleus,Cyanocorax caeruleus,PASSERIFORMES,Corvidae,272,2.674471083,36,Cyanocorax coeruleus,0,Cyanocorax caeruleus,Not Listed,0,0
Cyanocorax cayanus,Cyanocorax cayanus,PASSERIFORMES,Corvidae,175,2.163356721,17.11167682,Cyanocorax cayanus,0,Cyanocorax cayanus,Not Listed,0,0
Cyanocorax chrysops,Cyanocorax chrysops,PASSERIFORMES,Corvidae,166,2.038104964,14.94465345,Cyanocorax chrysops,1,Cyanocorax chrysops,Not Listed,0,0
Cyanocorax cristatellus,Cyanocorax cristatellus,PASSERIFORMES,Corvidae,178,2.276844712,17.51475269,Cyanocorax cristatellus,1,Cyanocorax cristatellus,Not Listed,0,0
Cyanocorax cyanomelas,Cyanocorax cyanomelas,PASSERIFORMES,Corvidae,207,2.256469915,17.84595225,Cyanocorax cyanomelas,1,Cyanocorax cyanomelas,Not Listed,0,0
Cyanocorax cyanopogon,Cyanocorax cyanopogon,PASSERIFORMES,Corvidae,146,2.089103285,16.90215128,Cyanocorax cyanopogon,1,Cyanocorax cyanopogon,Not Listed,0,0
Cyanocorax dickeyi,Cyanocorax dickeyi,PASSERIFORMES,Corvidae,181,2.114130029,17.17906377,Cyanocorax dickeyi,1,Cyanocorax dickeyi,Not Listed,0,0
Cyanocorax melanocyaneus,Cyanocorax melanocyaneus,PASSERIFORMES,Corvidae,101,1.996885276,13.93571249,Cyanocorax melanocyaneus,1,Cyanocorax melanocyaneus,Not Listed,0,0
Cyanocorax morio,Cyanocorax morio,PASSERIFORMES,Corvidae,204,2.249990484,17.68151237,Cyanocorax morio,0,NA,Not Listed,0,0
Cyanocorax mystacalis,Cyanocorax mystacalis,PASSERIFORMES,Corvidae,154.4,2.026946345,16.78308337,Cyanocorax mystacalis,1,Cyanocorax mystacalis,Not Listed,0,0
Cyanocorax sanblasianus,Cyanocorax sanblasianus,PASSERIFORMES,Corvidae,109,1.988671037,15.72350996,Cyanocorax sanblasianus,1,Cyanocorax sanblasianus,Not Listed,0,0
Cyanocorax violaceus,Cyanocorax violaceus,PASSERIFORMES,Corvidae,262,2.104452436,16.1205394,Cyanocorax violaceus,0,Cyanocorax violaceus,Not Listed,0,0
Cyanocorax yucatanicus,Cyanocorax yucatanicus,PASSERIFORMES,Corvidae,118,1.798467723,14.76003233,Cyanocorax yucatanicus,1,Cyanocorax yucatanicus,Not Listed,0,0
Cyanolimnas cerverai,Cyanolimnas cerverai,GRUIFORMES,Rallidae,175,1.752902953,13.96924225,Cyanolimnas cerverai,0,Cyanolimnas cerverai,Not Listed,0,0
Cyanoliseus patagonus,Cyanoliseus patagonus,PSITTACIFORMES,Psittacidae,277.88,1.817950966,19.5,Cyanoliseus patagonus,1,Cyanoliseus patagonus,Listed,1,1
Cyanoloxia glaucocaerulea,Cyanoloxia glaucocaerulea,PASSERIFORMES,Cardinalidae,18.2,1.054602767,8.900824468,Cyanoloxia glaucocaerulea,0,Cyanoloxia glaucocaerulea,Not Listed,0,0
Cyanolyca argentigula,Cyanolyca argentigula,PASSERIFORMES,Corvidae,200,1.674000427,13.29526282,Cyanolyca argentigula,0,Cyanolyca argentigula,Not Listed,0,0
Cyanolyca cucullata,Cyanolyca cucullata,PASSERIFORMES,Corvidae,101.33,1.700774858,12.93394841,Cyanolyca cucullata,0,Cyanolyca cucullata,Not Listed,0,0
Cyanolyca mirabilis,Cyanolyca mirabilis,PASSERIFORMES,Corvidae,52.4,1.328646665,9.772703066,Cyanolyca mirabilis,0,Cyanolyca mirabilis,Not Listed,0,0
Cyanolyca nana,Cyanolyca nana,PASSERIFORMES,Corvidae,41,1.395530824,9.739401259,Cyanolyca nanus,0,Cyanolyca nana,Not Listed,0,0
Cyanolyca pulchra,Cyanolyca pulchra,PASSERIFORMES,Corvidae,103.97,1.516260001,10.72710009,Cyanolyca pulchra,0,Cyanolyca pulchra,Not Listed,0,0
Cyanolyca pumilo,Cyanolyca pumilo,PASSERIFORMES,Corvidae,47,1.301080792,9.534444839,Cyanolyca pumilo,0,Cyanolyca pumilo,Not Listed,0,0
Cyanolyca turcosa,Cyanolyca turcosa,PASSERIFORMES,Corvidae,103.97,1.516260001,10.70873114,Cyanolyca turcosa,0,Cyanolyca turcosa,Not Listed,0,0
Cyanolyca viridicyanus,Cyanolyca viridicyanus,PASSERIFORMES,Corvidae,119.79,1.558229816,11.30296118,Cyanolyca viridicyanus,0,Cyanolyca viridicyanus,Not Listed,0,0
Cyanophaia bicolor,Cyanophaia bicolor,CAPRIMULGIFORMES,Trochilidae,4.5,0.946423538,7.457811431,Cyanophaia bicolor,0,Cyanophaia bicolor,Listed,0,0
Cyanoramphus auriceps,Cyanoramphus auriceps,PSITTACIFORMES,Psittacidae,45.64,0.934384977,11.71387244,Cyanoramphus auriceps,1,Cyanoramphus auriceps,Listed,1,1
Cyanoramphus forbesi,Cyanoramphus forbesi,PSITTACIFORMES,Psittacidae,90.1,1.435482674,13.11534241,Cyanoramphus forbesi,1,Cyanoramphus forbesi,Listed,1,0
Cyanoramphus malherbi,Cyanoramphus malherbi,PSITTACIFORMES,Psittacidae,46.7,1.351289093,13.56725051,Cyanoramphus malherbi,1,Cyanoramphus malherbi,Listed,1,1
Cyanoramphus unicolor,Cyanoramphus unicolor,PSITTACIFORMES,Psittacidae,149.03,1.607990766,18.665056,Cyanoramphus unicolor,1,Cyanoramphus unicolor,Listed,1,1
Cyclarhis gujanensis,Cyclarhis gujanensis,PASSERIFORMES,Vireonidae,28.8,1.301742052,8.831122779,Cyclarhis gujanensis,0,Cyclarhis gujanensis,Not Listed,0,0
Cyclarhis nigrirostris,Cyclarhis nigrirostris,PASSERIFORMES,Vireonidae,31.9,1.207423206,8.608999819,Cyclarhis nigrirostris,1,Cyclarhis nigrirostris,Not Listed,0,0
Cygnus atratus,Cygnus atratus,ANSERIFORMES,Anatidae,5623.16,3.315121565,29,Cygnus atratus,1,Cygnus atratus,Not Listed,0,0
Cygnus buccinator,Cygnus buccinator,ANSERIFORMES,Anatidae,11071.13,3.121573081,29.33332325,Cygnus buccinator,1,Cygnus buccinator,Not Listed,0,0
Cygnus columbianus,Cygnus columbianus,ANSERIFORMES,Anatidae,6377.96,4,27.64587536,Cygnus columbianus,1,Cygnus columbianus,Not Listed,0,0
Cygnus cygnus,Cygnus cygnus,ANSERIFORMES,Anatidae,9349.99,4,28.01008893,Cygnus cygnus,1,Cygnus cygnus,Not Listed,0,0
Cygnus melancoryphus,Cygnus melancoryphus,ANSERIFORMES,Anatidae,4711.68,2.638104731,23.4592568,Cygnus melancoryphus,1,Cygnus melancoryphus,Listed,1,1
Cygnus olor,Cygnus olor,ANSERIFORMES,Anatidae,10682.04,4,28.58,Cygnus olor,1,Cygnus olor,Not Listed,0,0
Cymbilaimus lineatus,Cymbilaimus lineatus,PASSERIFORMES,Thamnophilidae,35.8,1.412384995,9.219159825,Cymbilaimus lineatus,0,Cymbilaimus lineatus,Not Listed,0,0
Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,PASSERIFORMES,Thamnophilidae,28.7,1.183067802,8.584321323,Cymbilaimus sanctaemariae,0,Cymbilaimus sanctaemariae,Not Listed,0,0
Cynanthus sordidus,Cynanthus sordidus,CAPRIMULGIFORMES,Trochilidae,4,1.012127193,8.114445331,Cynanthus sordidus,1,Cynanthus sordidus,Listed,0,0
Cyornis banyumas,Cyornis banyumas,PASSERIFORMES,Muscicapidae,14.5,0.973998164,5.507521157,Cyornis banyumas,0,Cyornis banyumas,Not Listed,0,0
Cyornis caerulatus,Cyornis caerulatus,PASSERIFORMES,Muscicapidae,22.49,1.128747081,5.973027448,Cyornis caerulatus,0,Cyornis caerulatus,Not Listed,0,0
Cyornis concretus,Cyornis concretus,PASSERIFORMES,Muscicapidae,44.82,1.476304021,7.614355374,Cyornis concretus,0,Cyornis concretus,Not Listed,0,0
Cyornis hainanus,Cyornis hainanus,PASSERIFORMES,Muscicapidae,26.84,1.167885097,6.470315471,Cyornis hainanus,1,Cyornis hainanus,Not Listed,0,0
Cyornis hoevelli,Cyornis hoevelli,PASSERIFORMES,Muscicapidae,27.25,1.171303173,6.228831777,Cyornis hoevelli,1,Cyornis hoevelli,Not Listed,0,0
Cyornis hyacinthinus,Cyornis hyacinthinus,PASSERIFORMES,Muscicapidae,31.76,1.206399891,6.525384862,Cyornis hyacinthinus,0,Cyornis hyacinthinus,Not Listed,0,0
Cyornis lemprieri,Cyornis lemprieri,PASSERIFORMES,Muscicapidae,21.5,1.118994044,6.072789555,Cyornis lemprieri,0,Cyornis lemprieri,Not Listed,0,0
Cyornis magnirostris,Cyornis magnirostris,PASSERIFORMES,Muscicapidae,14.5,1.037170958,5.896382478,Cyornis magnirostris,0,Cyornis magnirostris,Not Listed,0,0
Cyornis omissus,Cyornis omissus,PASSERIFORMES,Muscicapidae,18,1.081315466,5.833333333,Cyornis omissus,0,Cyornis omissus,Not Listed,0,0
Cyornis pallipes,Cyornis pallipes,PASSERIFORMES,Muscicapidae,19,1.067815173,5.850532378,COME BACK,0,Cyornis pallipes,Not Listed,0,0
Cyornis poliogenys,Cyornis poliogenys,PASSERIFORMES,Muscicapidae,36.67,1.215469803,6.941871586,Cyornis poliogenys,0,Cyornis poliogenys,Not Listed,0,0
Cyornis ruckii,Cyornis ruckii,PASSERIFORMES,Muscicapidae,36.67,1.240298061,6.618196032,Cyornis ruckii,1,Cyornis ruckii,Listed,0,0
Cyornis sanfordi,Cyornis sanfordi,PASSERIFORMES,Muscicapidae,25.14,1.15324637,6.109707841,Cyornis sanfordi,0,Cyornis sanfordi,Not Listed,0,0
Cyornis superbus,Cyornis superbus,PASSERIFORMES,Muscicapidae,27.25,1.171303173,6.204330201,Cyornis superbus,0,Cyornis superbus,Not Listed,0,0
Cyornis turcosus,Cyornis turcosus,PASSERIFORMES,Muscicapidae,21.22,1.116169919,5.917765181,Cyornis turcosus,1,Cyornis turcosus,Not Listed,0,0
Cyornis unicolor,Cyornis unicolor,PASSERIFORMES,Muscicapidae,21,1.08907505,6.033568176,Cyornis unicolor,1,Cyornis unicolor,Not Listed,0,0
Cyphorhinus arada,Cyphorhinus arada,PASSERIFORMES,Troglodytidae,20.9,1.270317978,8.308737265,Cyphorhinus arada,0,Cyphorhinus arada,Not Listed,0,0
Cyphorhinus phaeocephalus,Cyphorhinus phaeocephalus,PASSERIFORMES,Troglodytidae,24.6,1.261945031,8.456580891,Cyphorhinus phaeocephalus,0,Cyphorhinus phaeocephalus,Not Listed,0,0
Cypseloides cherriei,Cypseloides cherriei,CAPRIMULGIFORMES,Apodidae,22.1,1.016441088,10.32967138,Cypseloides cherriei,0,Cypseloides cherriei,Not Listed,0,0
Cypseloides cryptus,Cypseloides cryptus,CAPRIMULGIFORMES,Apodidae,34.54,1.109894965,11.47586708,Cypseloides cryptus,0,Cypseloides cryptus,Not Listed,0,0
Cypseloides fumigatus,Cypseloides fumigatus,CAPRIMULGIFORMES,Apodidae,41.95,1.153210524,12.43015427,Cypseloides fumigatus,0,Cypseloides fumigatus,Not Listed,0,0
Cypseloides lemosi,Cypseloides lemosi,CAPRIMULGIFORMES,Apodidae,28.1,0.982604793,10.62270509,Cypseloides lemosi,0,Cypseloides lemosi,Not Listed,0,0
Cypseloides niger,Cypseloides niger,CAPRIMULGIFORMES,Apodidae,39.67,1.140585965,16.08333333,Cypseloides niger,0,Cypseloides niger,Not Listed,0,0
Cypseloides rothschildi,Cypseloides rothschildi,CAPRIMULGIFORMES,Apodidae,44.68,1.074494711,12.23307639,Cypseloides rothschildi,0,Cypseloides rothschildi,Not Listed,0,0
Cypseloides senex,Cypseloides senex,CAPRIMULGIFORMES,Apodidae,82.25,1.208628936,13.52001294,Cypseloides senex,0,Cypseloides senex,Not Listed,0,0
Cypseloides storeri,Cypseloides storeri,CAPRIMULGIFORMES,Apodidae,39.5,1.049271639,11.80437559,Cypseloides storeri,0,Cypseloides storeri,Not Listed,0,0
Cypsiurus balasiensis,Cypsiurus balasiensis,CAPRIMULGIFORMES,Apodidae,9.11,1.078641716,7.395924536,Cypsiurus balasiensis,1,Cypsiurus balasiensis,Not Listed,0,0
Cypsnagra hirundinacea,Cypsnagra hirundinacea,PASSERIFORMES,Thraupidae,31.4,1.225426843,8.639026848,Cypsnagra hirundinacea,0,Cypsnagra hirundinacea,Not Listed,0,0
Cyrtonyx ocellatus,Cyrtonyx ocellatus,GALLIFORMES,Odontophoridae,199.18,1.127593994,13.48474466,Cyrtonyx ocellatus,1,Cyrtonyx ocellatus,Not Listed,0,0
Dacelo gaudichaud,Dacelo gaudichaud,CORACIIFORMES,Alcedinidae,143,1.128180263,12.26955538,Dacelo gaudichaud,1,Dacelo gaudichaud,Not Listed,0,0
Dacelo leachii,Dacelo leachii,CORACIIFORMES,Alcedinidae,307.98,1.14617277,15.08099188,Dacelo leachii,1,Dacelo leachii,Not Listed,0,0
Dacelo novaeguineae,Dacelo novaeguineae,CORACIIFORMES,Alcedinidae,333.8,1.233854582,15.2,Dacelo novaeguineae,1,Dacelo novaeguineae,Not Listed,0,0
Dacelo tyro,Dacelo tyro,CORACIIFORMES,Alcedinidae,145.9,1.008855603,11.93701217,Dacelo tyro,1,Dacelo tyro,Not Listed,0,0
Dacnis albiventris,Dacnis albiventris,PASSERIFORMES,Thraupidae,11.2,0.921810315,7.550131595,Dacnis albiventris,0,Dacnis albiventris,Not Listed,0,0
Dacnis berlepschi,Dacnis berlepschi,PASSERIFORMES,Thraupidae,12.75,1.097092953,8.441553083,Dacnis berlepschi,0,Dacnis berlepschi,Not Listed,0,0
Dacnis cayana,Dacnis cayana,PASSERIFORMES,Thraupidae,13,1.091863798,8.185747751,Dacnis cayana,1,Dacnis cayana,Not Listed,0,0
Dacnis flaviventer,Dacnis flaviventer,PASSERIFORMES,Thraupidae,13,1.101207335,8.583099588,Dacnis flaviventer,0,Dacnis flaviventer,Not Listed,0,0
Dacnis hartlaubi,Dacnis hartlaubi,PASSERIFORMES,Thraupidae,5.08,0.918762297,7.176175949,Dacnis hartlaubi,0,Dacnis hartlaubi,Not Listed,0,0
Dacnis nigripes,Dacnis nigripes,PASSERIFORMES,Thraupidae,14,1.002591295,8.347293351,Dacnis nigripes,1,Dacnis nigripes,Not Listed,0,0
Dacnis venusta,Dacnis venusta,PASSERIFORMES,Thraupidae,16.1,1.216562341,9.233444014,Dacnis venusta,0,Dacnis venusta,Not Listed,0,0
Dacnis viguieri,Dacnis viguieri,PASSERIFORMES,Thraupidae,12.75,1.097092953,8.598635869,Dacnis viguieri,0,Dacnis viguieri,Not Listed,0,0
Dactylortyx thoracicus,Dactylortyx thoracicus,GALLIFORMES,Odontophoridae,201.75,1.461944351,13.68013286,Dactylortyx thoracicus,1,Dactylortyx thoracicus,Not Listed,0,0
Juliamyia julie,Damophila julie,CAPRIMULGIFORMES,Trochilidae,3.3,0.890334241,6.790452691,Amazilia julie,1,Damophila julie,Listed,1,0
Daphoenositta miranda,Daphoenositta miranda,PASSERIFORMES,Neosittidae,16.77,1.066661797,7.652653425,Daphoenositta miranda,0,Daphoenositta miranda,Not Listed,0,0
Daption capense,Daption capense,PROCELLARIIFORMES,Procellariidae,429.62,5,28.5,Daption capense,0,Daption capense,Not Listed,0,0
Daptrius ater,Daptrius ater,FALCONIFORMES,Falconidae,351.75,2.243369447,15.05960818,Daptrius ater,0,Daptrius ater,Listed,1,1
Dasycrotapha speciosa,Dasycrotapha speciosa,PASSERIFORMES,Zosteropidae,16.43,1.062458429,7.724884247,Dasycrotapha speciosa,0,Dasycrotapha speciosa,Not Listed,0,0
Dasyornis brachypterus,Dasyornis brachypterus,PASSERIFORMES,Dasyornithidae,41.8,1.583333333,8.068270902,Dasyornis brachypterus,0,Dasyornis brachypterus,Not Listed,0,0
Dasyornis broadbenti,Dasyornis broadbenti,PASSERIFORMES,Dasyornithidae,67.9,1.722335136,8.283011731,Dasyornis broadbenti,1,Dasyornis broadbenti,Listed,0,0
Dasyornis longirostris,Dasyornis longirostris,PASSERIFORMES,Dasyornithidae,32.7,1.463192864,7.768657802,Dasyornis longirostris,1,Dasyornis longirostris,Listed,0,0
Certhiasomus stictolaemus,Deconychura stictolaema,PASSERIFORMES,Furnariidae,18.5,1.087041789,7.76555562,Certhiasomus stictolaemus,0,Certhiasomus stictolaemus,Not Listed,0,0
Delichon dasypus,Delichon dasypus,PASSERIFORMES,Hirundinidae,18,1.076253963,8.998189436,Delichon dasypus,0,Delichon dasypus,Not Listed,0,0
Delichon nipalense,Delichon nipalense,PASSERIFORMES,Hirundinidae,14.96,1.03774223,8.362064653,Delichon nipalense,0,Delichon nipalense,Not Listed,0,0
Delothraupis castaneoventris,Delothraupis castaneoventris,PASSERIFORMES,Thraupidae,28,1.145918657,9.256569702,Dubusia castaneoventris,0,Delothraupis castaneoventris,Not Listed,0,0
Deltarhynchus flammulatus,Deltarhynchus flammulatus,PASSERIFORMES,Tyrannidae,17.2,1.131392334,8.067324908,Deltarhynchus flammulatus,0,Deltarhynchus flammulatus,Not Listed,0,0
Falcipennis falcipennis,Dendragapus falcipennis,GALLIFORMES,Phasianidae,685.61,1.030530106,14.63485786,Falcipennis falcipennis,1,Falcipennis falcipennis,Not Listed,0,0
Dendragapus fuliginosus,Dendragapus fuliginosus,GALLIFORMES,Phasianidae,1047.31,1.424778136,16.61472388,Dendragapus fuliginosus,0,Dendragapus fuliginosus,Not Listed,0,0
Dendragapus obscurus,Dendragapus obscurus,GALLIFORMES,Phasianidae,1047.31,1.5,16.85346834,Dendragapus obscurus,1,Dendragapus obscurus,Not Listed,0,0
Dendrexetastes rufigula,Dendrexetastes rufigula,PASSERIFORMES,Furnariidae,69.6,1.548850993,10.28934975,Dendrexetastes rufigula,0,Dendrexetastes rufigula,Not Listed,0,0
Dendrocincla anabatina,Dendrocincla anabatina,PASSERIFORMES,Furnariidae,34.21,1.399802477,10.46128246,Dendrocincla anabatina,1,Dendrocincla anabatina,Not Listed,0,0
Dendrocincla fuliginosa,Dendrocincla fuliginosa,PASSERIFORMES,Furnariidae,38.7,1.434222082,11.5,Dendrocincla fuliginosa,0,Dendrocincla fuliginosa,Not Listed,0,0
