species,phyloname.x,Order.x,Family.x,Bodymass,Age_at_first_breeding,Max_longevity,Name_update.helps.later.,Traded,Cites_name,Listing,Trade_since_2000,Trade_since_2015
Mellisuga minima,Mellisuga minima,CAPRIMULGIFORMES,Trochilidae,2.4,0.959848848,7.412264919,Mellisuga minima,1,Mellisuga minima,Listed,1,0
Melocichla mentalis,Melocichla mentalis,PASSERIFORMES,Macrosphenidae,33.2,1.338712651,8.752702989,Melocichla mentalis,1,Melocichla mentalis,Not Listed,0,0
Melophus lathami,Melophus lathami,PASSERIFORMES,Emberizidae,21.9,1.011534361,7.817727953,Emberiza lathami,0,Melophus lathami,Not Listed,0,0
Melopsittacus undulatus,Melopsittacus undulatus,PSITTACIFORMES,Psittacidae,28.99,1.010849686,21,Melopsittacus undulatus,1,Melopsittacus undulatus,Not Listed,1,1
Melospiza georgiana,Melospiza georgiana,PASSERIFORMES,Passerellidae,16.1,1,8.585793558,Melospiza georgiana,1,Melospiza georgiana,Not Listed,0,0
Melospiza lincolnii,Melospiza lincolnii,PASSERIFORMES,Passerellidae,16.6,0.999794633,8.723123667,Melospiza lincolnii,1,Melospiza lincolnii,Not Listed,0,0
Melospiza melodia,Melospiza melodia,PASSERIFORMES,Passerellidae,21.91,1.139651816,11.33,Melospiza melodia,1,Melospiza melodia,Not Listed,0,0
Melozone biarcuata,Melozone biarcuata,PASSERIFORMES,Passerellidae,30.6,1.02108002,9.733012883,Melozone biarcuata,0,Melozone biarcuata,Not Listed,0,0
Melozone kieneri,Melozone kieneri,PASSERIFORMES,Passerellidae,38.7,1.028806218,10.11215267,Melozone kieneri,0,Melozone kieneri,Not Listed,0,0
Menura alberti,Menura alberti,PASSERIFORMES,Menuridae,928,5.080295762,21.47166495,Menura alberti,0,Menura alberti,Not Listed,0,0
Menura novaehollandiae,Menura novaehollandiae,PASSERIFORMES,Menuridae,972.62,6.5,26,Menura novaehollandiae,1,Menura novaehollandiae,Not Listed,0,0
Merganetta armata,Merganetta armata,ANSERIFORMES,Anatidae,398.82,2.021712468,14.67932633,Merganetta armata,1,Merganetta armata,Not Listed,0,0
Mergellus albellus,Mergellus albellus,ANSERIFORMES,Anatidae,608.55,2,13.12273748,Mergellus albellus,1,Mergellus albellus,Not Listed,0,0
Mergus merganser,Mergus merganser,ANSERIFORMES,Anatidae,1451.02,2,17.74235977,Mergus merganser,1,Mergus merganser,Not Listed,0,0
Mergus octosetaceus,Mergus octosetaceus,ANSERIFORMES,Anatidae,983,2,15.22262378,Mergus octosetaceus,1,Mergus octosetaceus,Not Listed,0,0
Mergus serrator,Mergus serrator,ANSERIFORMES,Anatidae,1015.17,2,21.25,Mergus serrator,1,Mergus serrator,Not Listed,0,0
Mergus squamatus,Mergus squamatus,ANSERIFORMES,Anatidae,1234,1.732609199,15.07657773,Mergus squamatus,1,Mergus squamatus,Not Listed,0,0
Meropogon forsteni,Meropogon forsteni,CORACIIFORMES,Meropidae,55,1.34110798,9.484267261,Meropogon forsteni,0,Meropogon forsteni,Not Listed,0,0
Merops albicollis,Merops albicollis,CORACIIFORMES,Meropidae,25.9,1.081630933,6.185715431,Merops albicollis,1,Merops albicollis,Not Listed,0,0
Merops apiaster,Merops apiaster,CORACIIFORMES,Meropidae,56.6,1.5,7.294719074,Merops apiaster,1,Merops apiaster,Not Listed,0,0
Merops boehmi,Merops boehmi,CORACIIFORMES,Meropidae,16.6,1.202551229,6.353941031,Merops boehmi,0,Merops boehmi,Not Listed,0,0
Merops breweri,Merops breweri,CORACIIFORMES,Meropidae,49.74,1.551664719,7.777370324,Merops breweri,0,Merops breweri,Not Listed,0,0
Merops bullockoides,Merops bullockoides,CORACIIFORMES,Meropidae,34.8,1.33847454,7.227327683,Merops bullockoides,1,Merops bullockoides,Not Listed,0,0
Merops bulocki,Merops bulocki,CORACIIFORMES,Meropidae,23.1,1.283424969,6.763759082,Merops bulocki,1,Merops bulocki,Not Listed,0,0
Merops gularis,Merops gularis,CORACIIFORMES,Meropidae,27.3,1.433153627,7.12758493,Merops gularis,0,Merops gularis,Not Listed,0,0
Merops hirundineus,Merops hirundineus,CORACIIFORMES,Meropidae,21.7,1.26771646,6.631700372,Merops hirundineus,1,Merops hirundineus,Not Listed,0,0
Merops leschenaulti,Merops leschenaulti,CORACIIFORMES,Meropidae,27.2,1.050637452,6.107985278,Merops leschenaulti,1,Merops leschenaulti,Not Listed,0,0
